SNo.,Date,LTP,%Change,High,Low,Open,Qty,Turnover
84,2018/08/16,340.00,0.29,345.00,335.00,344.00,"25,581","8,716,340.00"
85,2018/08/15,337.00,4.63,343.00,326.00,326.00,"37,824","12,610,400.00"
86,2018/08/14,322.00,2.21,324.00,317.00,317.00,"6,036","1,929,290.00"
87,2018/08/13,317.00,-0.94,319.00,315.00,315.00,"2,778","880,111.00"
88,2018/08/12,318.00,-1.54,322.00,313.00,322.00,"3,439","1,089,860.00"
89,2018/08/09,323.00,0,325.00,319.00,322.00,"5,748","1,845,500.00"
90,2018/08/08,325.00,-0.31,327.00,322.00,325.00,"1,567","507,941.00"
91,2018/08/07,326.00,0,326.00,324.00,325.00,"4,342","1,408,590.00"
92,2018/08/06,326.00,-0.61,328.00,325.00,328.00,"9,520","3,097,930.00"
93,2018/08/05,328.00,0.31,328.00,325.00,327.00,"3,712","1,212,820.00"
94,2018/08/02,327.00,1.55,327.00,321.00,322.00,"5,188","1,679,860.00"
95,2018/08/01,322.00,0.31,323.00,319.00,319.00,"9,526","3,068,020.00"
96,2018/07/31,321.00,0.63,321.00,318.00,319.00,"7,541","2,409,040.00"
97,2018/07/30,319.00,0.31,319.00,315.00,316.00,"5,984","1,893,380.00"
98,2018/07/29,318.00,0.95,319.00,315.00,318.00,"9,058","2,864,570.00"
99,2018/07/26,315.00,0.32,315.00,313.00,314.00,"5,608","1,760,550.00"
100,2018/07/25,314.00,0.32,315.00,311.00,315.00,"6,281","1,964,550.00"

301,2017/09/12,421.00,-0.71,426.00,420.00,423.00,"27,903","11,782,800.00"
302,2017/09/11,424.00,-0.24,430.00,420.00,425.00,"17,950","7,592,940.00"
303,2017/09/10,426.00,-0.7,431.00,423.00,425.00,"37,704","16,076,700.00"
304,2017/09/07,428.00,-2.28,438.00,426.00,435.00,"34,082","14,711,400.00"
305,2017/09/06,438.00,1.86,440.00,425.00,430.00,"11,603","4,994,220.00"
306,2017/09/04,430.00,-1.6,439.00,426.00,437.00,"33,009","14,133,500.00"
307,2017/08/31,437.00,-0.23,438.00,432.00,438.00,"15,528","6,769,346.00"
308,2017/08/30,438.00,-1.79,443.00,435.00,446.00,"14,820","6,508,340.00"
309,2017/08/28,446.00,0,452.00,444.00,444.00,"7,897","3,519,690.00"
310,2017/08/27,446.00,0.68,451.00,443.00,443.00,"3,889","1,732,805.00"
311,2017/08/24,443.00,0.45,453.00,434.00,441.00,"11,438","5,093,781.00"
312,2017/08/23,441.00,0,442.00,438.00,440.00,"7,718","3,396,670.00"
313,2017/08/22,441.00,0.68,442.00,436.00,436.00,"12,396","5,447,830.00"
314,2017/08/21,438.00,-0.45,442.00,432.00,440.00,"5,674","2,474,780.00"
315,2017/08/20,440.00,-0.68,444.00,435.00,435.00,"16,054","7,075,870.00"
316,2017/08/17,443.00,-0.23,449.00,438.00,449.00,"23,326","10,279,600.00"
317,2017/08/16,444.00,0.68,448.00,442.00,442.00,"11,304","5,021,860.00"
318,2017/08/15,441.00,-0.9,446.00,441.00,445.00,"15,104","6,699,560.00"
319,2017/08/13,445.00,-1.11,449.00,440.00,445.00,"14,415","6,423,460.00"
320,2017/08/10,448.00,0,454.00,443.00,450.00,"21,245","9,497,820.00"
321,2017/08/09,450.00,-0.66,460.00,444.00,444.00,"17,516","7,934,360.00"
322,2017/08/07,453.00,-0.22,463.00,452.00,463.00,"11,926","5,419,900.00"
323,2017/08/06,454.00,0.22,456.00,450.00,450.00,"18,930","8,598,440.00"
324,2017/08/03,453.00,-0.22,459.00,450.00,454.00,"14,097","6,379,143.00"
325,2017/08/02,454.00,0,456.00,453.00,455.00,"12,168","5,532,200.00"
326,2017/08/01,454.00,0.22,469.00,450.00,451.00,"9,280","4,235,330.00"
327,2017/07/31,454.00,0.44,459.00,450.00,450.00,"12,315","5,598,250.00"
328,2017/07/30,451.00,-1.96,461.00,445.00,454.00,"9,537","4,331,120.00"
329,2017/07/27,460.00,2.22,460.00,450.00,450.00,"11,335","5,133,610.00"
330,2017/07/26,450.00,-1.75,460.00,448.00,449.00,"22,953","10,401,100.00"
331,2017/07/25,458.00,0.66,461.00,454.00,455.00,"16,138","7,380,110.00"
332,2017/07/24,455.00,-0.87,460.00,454.00,460.00,"13,393","6,112,030.00"
333,2017/07/23,459.00,-0.43,465.00,455.00,465.00,"16,709","7,668,930.00"
334,2017/07/20,463.00,0.22,465.00,454.00,460.00,"10,954","5,040,010.00"
335,2017/07/19,460.00,-2.54,470.00,460.00,470.00,"21,239","9,884,870.00"
336,2017/07/18,472.00,5.36,472.00,449.00,449.00,"27,796","12,739,700.00"
337,2017/07/17,447.00,3.46,448.00,433.00,433.00,"16,129","7,096,070.00"
338,2017/07/16,433.00,-0.46,435.00,430.00,432.00,"4,465","1,927,020.00"
339,2017/07/13,431.00,0.69,437.00,430.00,436.00,"12,875","5,549,590.00"
340,2017/07/12,433.00,-0.69,440.00,432.00,435.00,"8,794","3,825,060.00"
341,2017/07/11,435.00,0.46,440.00,430.00,433.00,"9,864","4,318,390.00"
342,2017/07/10,433.00,-1.81,440.00,430.00,440.00,"12,785","5,585,370.00"
